"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99563.9627915728
"Total","Female","2",99112.2548318379
"Total","Female","3",99056.8384187365
"Total","Female","4",99020.6796896185
"Total","Female","5",99003.1492515041
"Total","Female","6",98986.3019530694
"Total","Female","7",98969.7393659443
"Total","Female","8",98953.3251127946
"Total","Female","9",98937.0992662565
"Total","Female","10",98921.0757664968
"Total","Female","11",98905.2166761935
"Total","Female","12",98889.4284701633
"Total","Female","13",98857.8444942865
"Total","Female","14",98826.189724996
"Total","Female","15",98794.4790913605
"Total","Female","16",98746.9245887895
"Total","Female","17",98699.4767192025
"Total","Female","18",98652.2859581606
"Total","Female","19",98589.8872953154
"Total","Female","20",98527.8908247634
"Total","Female","21",98450.3769463709
"Total","Female","22",98372.3593721207
"Total","Female","23",98278.0727656937
"Total","Female","24",98183.710717911
"Total","Female","25",98074.2092481388
"Total","Female","26",97965.5913437424
"Total","Female","27",97842.3448064331
"Total","Female","28",97719.6777074751
"Total","Female","29",97581.6663933335
"Total","Female","30",97442.7820733303
"Total","Female","31",97302.385845257
"Total","Female","32",97144.581132566
"Total","Female","33",96985.1970782058
"Total","Female","34",96824.2525095397
"Total","Female","35",96661.6046806978
"Total","Female","36",96496.8499428749
"Total","Female","37",96312.6796731826
"Total","Female","38",96125.1184664189
"Total","Female","39",95933.9630288105
"Total","Female","40",95721.6414581086
"Total","Female","41",95505.8902001264
"Total","Female","42",95269.1514123294
"Total","Female","43",95011.7665957002
"Total","Female","44",94752.8285516395
"Total","Female","45",94455.6813041235
"Total","Female","46",94137.5541952241
"Total","Female","47",93796.1324794243
"Total","Female","48",93428.8730220088
"Total","Female","49",93033.4068928151
"Total","Female","50",92587.3979689445
"Total","Female","51",92109.2324467068
"Total","Female","52",91597.6329144872
"Total","Female","53",91051.6939890224
"Total","Female","54",90470.1798539905
"Total","Female","55",89830.1684755389
"Total","Female","56",89129.8293242223
"Total","Female","57",88364.9715772727
"Total","Female","58",87554.6216920288
"Total","Female","59",86669.8485552536
"Total","Female","60",85705.8370126279
"Total","Female","61",84655.2232632982
"Total","Female","62",83509.9125377429
"Total","Female","63",82263.2795784918
"Total","Female","64",80910.5123279776
"Total","Female","65",79448.1804381814
"Total","Female","66",77897.9720393876
"Total","Female","67",76208.2112576221
"Total","Female","68",74437.5743789599
"Total","Female","69",72555.8810489342
"Total","Female","70",70570.1411465423
"Total","Female","71",68461.2382013772
"Total","Female","72",66240.0161044612
"Total","Female","73",63897.3813885717
"Total","Female","74",61428.712436019
"Total","Female","75",58868.3082962191
"Total","Female","76",56251.9390386094
"Total","Female","77",53520.8347156698
"Total","Female","78",50713.4812872675
"Total","Female","79",47836.778780579
"Total","Female","80",44931.8076450734
"Total","Female","81",41995.0881911471
"Total","Female","82",39018.8597187414
"Total","Female","83",36009.4263893704
"Total","Female","84",33030.8032316086
"Total","Female","85",30087.4643297821
"Total","Female","86",27190.1529498772
"Total","Female","87",24405.7903698479
"Total","Female","88",21732.7752341027
"Total","Female","89",19168.9636152648
"Total","Female","90",16719.2558050073
"Total","Female","91",14406.6858431932
"Total","Female","92",12288.9992827238
"Total","Female","93",10378.1093138284
"Total","Female","94",8676.77991811886
"Total","Female","95",7137.35122296874
"Total","Female","96",5826.40916160713
"Total","Female","97",4631.24830794413
"Total","Female","98",3568.33886021925
"Total","Female","99",2657.27361931221
"Total","Female","100+",1898.052585223
"Total","Male","0",1e+05
"Total","Male","1",99562.5728045799
"Total","Male","2",99128.1969188665
"Total","Male","3",99074.8878589477
"Total","Male","4",99040.1247404007
"Total","Male","5",99023.2854775017
"Total","Male","6",99007.1065239069
"Total","Male","7",98991.2361854403
"Total","Male","8",98975.5469491798
"Total","Male","9",98960.0662974321
"Total","Male","10",98944.8146882315
"Total","Male","11",98929.735085292
"Total","Male","12",98899.678960399
"Total","Male","13",98869.5449936225
"Total","Male","14",98824.0493827657
"Total","Male","15",98762.9997769694
"Total","Male","16",98686.4452464857
"Total","Male","17",98594.572683029
"Total","Male","18",98472.6251596115
"Total","Male","19",98321.431201129
"Total","Male","20",98141.327831504
"Total","Male","21",97931.3677780748
"Total","Male","22",97690.0088926082
"Total","Male","23",97416.750126475
"Total","Male","24",97128.2878413658
"Total","Male","25",96796.3800543963
"Total","Male","26",96437.4872502397
"Total","Male","27",96036.4997772657
"Total","Male","28",95607.3359751946
"Total","Male","29",95162.5817374436
"Total","Male","30",94698.6295421364
"Total","Male","31",94227.6054722117
"Total","Male","32",93748.7831183655
"Total","Male","33",93262.102673474
"Total","Male","34",92782.6881635007
"Total","Male","35",92293.2419449487
"Total","Male","36",91791.3754852155
"Total","Male","37",91291.4318493677
"Total","Male","38",90792.7662052432
"Total","Male","39",90296.881773658
"Total","Male","40",89788.0607764987
"Total","Male","41",89289.2382166293
"Total","Male","42",88765.8887252912
"Total","Male","43",88241.393923763
"Total","Male","44",87700.035678832
"Total","Male","45",87143.8189407923
"Total","Male","46",86552.1075428809
"Total","Male","47",85922.0822756668
"Total","Male","48",85249.8406573259
"Total","Male","49",84551.2305358454
"Total","Male","50",83823.1040305908
"Total","Male","51",83063.6195400895
"Total","Male","52",82271.8607323018
"Total","Male","53",81426.1427205118
"Total","Male","54",80546.0866231722
"Total","Male","55",79609.9989814872
"Total","Male","56",78639.0137655591
"Total","Male","57",77607.3225870576
"Total","Male","58",76509.3699937948
"Total","Male","59",75318.20614958
"Total","Male","60",74051.5654980455
"Total","Male","61",72703.4225631006
"Total","Male","62",71264.7332049772
"Total","Male","63",69729.40681636
"Total","Male","64",68093.6810416289
"Total","Male","65",66353.9622445574
"Total","Male","66",64500.6564857166
"Total","Male","67",62570.024590906
"Total","Male","68",60554.5918808036
"Total","Male","69",58463.2245003049
"Total","Male","70",56307.5972282266
"Total","Male","71",54079.8977807562
"Total","Male","72",51788.662236151
"Total","Male","73",49395.7867532925
"Total","Male","74",46967.6230786222
"Total","Male","75",44499.3545985145
"Total","Male","76",41987.2942582757
"Total","Male","77",39455.9501745527
"Total","Male","78",36898.2718028944
"Total","Male","79",34321.7379719471
"Total","Male","80",31767.7448772973
"Total","Male","81",29232.7633354737
"Total","Male","82",26751.9064753204
"Total","Male","83",24341.0627297184
"Total","Male","84",21965.2713364007
"Total","Male","85",19676.3051851124
"Total","Male","86",17529.7991649184
"Total","Male","87",15494.0805522182
"Total","Male","88",13568.7806019425
"Total","Male","89",11759.6098550169
"Total","Male","90",10116.5505938369
"Total","Male","91",8640.72438955949
"Total","Male","92",7333.72406172696
"Total","Male","93",6144.47151117664
"Total","Male","94",5137.18109950834
"Total","Male","95",4259.471765924
"Total","Male","96",3455.79784782513
"Total","Male","97",2786.93374824607
"Total","Male","98",2218.1717588081
"Total","Male","99",1751.18823063797
"Total","Male","100+",1335.6520403171
